,img_name,Title,worker_id,name,desc,img_desc
144,4.jpg,Girl with a Pearl Earring,A3RQVHWHESFK4D,shoulder,"side of upper arm, facing viewer, covered by dress","girl, looking over shoulder, smiling, young, head scarf"
145,4.jpg,Girl with a Pearl Earring,A2MDR0R3KTYTGV,pupil and iris,"pupil, iris, eye color, dark, staring","beautiful, dark, somber, interesting, poignant, searching"
146,4.jpg,Girl with a Pearl Earring,A2MDR0R3KTYTGV,pupil and iris,"pupil, iris, eye color, dark, staring","beautiful, dark, somber, interesting, poignant, searching"
147,4.jpg,Girl with a Pearl Earring,A2MDR0R3KTYTGV,collar,"white, collar, bright, soft, cloth","beautiful, dark, somber, interesting, poignant, searching"
148,4.jpg,Girl with a Pearl Earring,A2MDR0R3KTYTGV,cheek,"cheek, cheekbone, side of face, smooth, flesh colored","beautiful, dark, somber, interesting, poignant, searching"
149,4.jpg,Girl with a Pearl Earring,A2MDR0R3KTYTGV,chin,"chin, jaw, below mouth","beautiful, dark, somber, interesting, poignant, searching"
150,4.jpg,Girl with a Pearl Earring,A1NZ4C0GO5HS87,turban,"headwear, blue and beige, keeps hair in place",the high end equivalent of today's professional portrait
151,4.jpg,Girl with a Pearl Earring,A1NZ4C0GO5HS87,earring,"white pearl earring, jewel, in the middle of the painting",the high end equivalent of today's professional portrait
152,4.jpg,Girl with a Pearl Earring,A1NZ4C0GO5HS87,girl_s face,"famous person, light pink skin, portrait, focus of the painting, relaxed",the high end equivalent of today's professional portrait
153,4.jpg,Girl with a Pearl Earring,A1NZ4C0GO5HS87,background,"dark brown, complementary colors, shadows",the high end equivalent of today's professional portrait
154,4.jpg,Girl with a Pearl Earring,A1NZ4C0GO5HS87,dress,"green and yellow tint, white collar, silk dress or gown",the high end equivalent of today's professional portrait
155,4.jpg,Girl with a Pearl Earring,AOV97Z3YMKLAQ,forehead,"face, girl, head","face, girl, painting, photo, blond"
156,4.jpg,Girl with a Pearl Earring,AOV97Z3YMKLAQ,shoulder,"body part, girl, left","face, girl, painting, photo, blond"
157,4.jpg,Girl with a Pearl Earring,AOV97Z3YMKLAQ,neck,"skin, girl, body part","face, girl, painting, photo, blond"
158,4.jpg,Girl with a Pearl Earring,A2M3QMJC99DERS,lip,"upper lip, pink, soft","young woman, portrait, scarf, pearl earring, headscarf"
159,4.jpg,Girl with a Pearl Earring,A2M3QMJC99DERS,lip,"bottom, pink, full, smooth, soft","young woman, portrait, scarf, pearl earring, headscarf"
160,4.jpg,Girl with a Pearl Earring,A2M3QMJC99DERS,headscarf,"binding, white, cloth","young woman, portrait, scarf, pearl earring, headscarf"
161,4.jpg,Girl with a Pearl Earring,A2M3QMJC99DERS,nostril,"round, black, left","young woman, portrait, scarf, pearl earring, headscarf"
162,4.jpg,Girl with a Pearl Earring,A2M3QMJC99DERS,headscarf,"blue, shaded side, darker","young woman, portrait, scarf, pearl earring, headscarf"
163,5.jpg,Guernica,A3ISOGMY4IZJQ8,bull,"angry, mean, strong , scared","chaotic, abstract, suffering, worried, agony"
164,5.jpg,Guernica,A3ISOGMY4IZJQ8,face,"worried, scared, tear drop shaped","chaotic, abstract, suffering, worried, agony"
165,5.jpg,Guernica,A3ISOGMY4IZJQ8,light,"eye shaped, spiky edges","chaotic, abstract, suffering, worried, agony"
166,5.jpg,Guernica,A3ISOGMY4IZJQ8,horse face,"mouth open, scared,","chaotic, abstract, suffering, worried, agony"
167,5.jpg,Guernica,A3ISOGMY4IZJQ8,hand holding candle,flame is burning. holding out in front of arm,"chaotic, abstract, suffering, worried, agony"
168,5.jpg,Guernica,A1STWPAYOSCOSH,arm with broken dagger,"broken, damaged, shattered, broken dagger, gray, pale,","ominous, dark, foreboding, chaotic, mysterious, sadness, pain, torture, "
169,5.jpg,Guernica,A1STWPAYOSCOSH,tail,"wiry, tail, horse tail,","ominous, dark, foreboding, chaotic, mysterious, sadness, pain, torture, "
170,5.jpg,Guernica,A1STWPAYOSCOSH,severed head,"anguish, death, darkness, disturbing, beheaded, severed","ominous, dark, foreboding, chaotic, mysterious, sadness, pain, torture, "
171,5.jpg,Guernica,A1STWPAYOSCOSH,mother holding her deceased child,"anguish, sadness, despair, death, heart break, turmoil,","ominous, dark, foreboding, chaotic, mysterious, sadness, pain, torture, "
172,5.jpg,Guernica,A2HC04434S9TP0,hand,"arm, body, anatomy","ghosts, hands, legs, harms war, fight, dark, surprise, suffering, sword, room"
173,5.jpg,Guernica,A2HC04434S9TP0,leg,"foot, grey, toes","ghosts, hands, legs, harms war, fight, dark, surprise, suffering, sword, room"
174,5.jpg,Guernica,A2HC04434S9TP0,window,"brown, rectangle, small","ghosts, hands, legs, harms war, fight, dark, surprise, suffering, sword, room"
175,5.jpg,Guernica,A2HC04434S9TP0,triangle,"geometry, math, dark grey","ghosts, hands, legs, harms war, fight, dark, surprise, suffering, sword, room"
176,5.jpg,Guernica,A2HC04434S9TP0,toe,"grey, foot, leg, round","ghosts, hands, legs, harms war, fight, dark, surprise, suffering, sword, room"
177,5.jpg,Guernica,A1X9BD3KDIA2QB,man,"grey,small,surprise,big eye","abstract, confuse, expression,caos,life"
178,5.jpg,Guernica,A1X9BD3KDIA2QB,women,"looking, adult, curious, big, confuse, grey","abstract, confuse, expression,caos,life"
179,5.jpg,Guernica,A1X9BD3KDIA2QB,horse,"confuse,looking,surprise, walking","abstract, confuse, expression,caos,life"
180,5.jpg,Guernica,A1X9BD3KDIA2QB,smoke,"grey,corner, abstract","abstract, confuse, expression,caos,life"
181,5.jpg,Guernica,A1X9BD3KDIA2QB,flower,"floor,small,beauty","abstract, confuse, expression,caos,life"
182,5.jpg,Guernica,AZ6XLXCXOT8BN,triangles,"teeth, top right, white, grey, pointy, spike",
183,5.jpg,Guernica,AZ6XLXCXOT8BN,triangle tooth,"gray, spike, point, middle right",
184,5.jpg,Guernica,ZCgDVlkp5,triangle,"small, triangle, abstract, vague, unclear","Abstract, mis-matched, jumbled, messy, random"
185,5.jpg,Guernica,ZCgDVlkp5,bulb,"lightbulb, 2d, vague, basic, simple.","Abstract, mis-matched, jumbled, messy, random"
186,5.jpg,Guernica,ZCgDVlkp5,eye,"eyeball, basic, 2d, figure, misplaced","Abstract, mis-matched, jumbled, messy, random"
187,5.jpg,Guernica,ZCgDVlkp5,snout,"nose, snout, bull, 2d, nostrils","Abstract, mis-matched, jumbled, messy, random"
188,5.jpg,Guernica,ZCgDVlkp5,tail,"tail, hair, flowing, thick, bushy","Abstract, mis-matched, jumbled, messy, random"
189,5.jpg,Guernica,A396GA8SHS2L41,mouth,"white, scream, up side, small, strange","Bold, impressive, dramatic, chaotic, terrific, scandalous, astounding, provocative"
190,5.jpg,Guernica,A396GA8SHS2L41,eye,"goggle, looking helpless, looking upward, white, small","Bold, impressive, dramatic, chaotic, terrific, scandalous, astounding, provocative"
191,5.jpg,Guernica,A396GA8SHS2L41,another eye,"looking upward, scared, bulging, white, dark pupil","Bold, impressive, dramatic, chaotic, terrific, scandalous, astounding, provocative"
192,5.jpg,Guernica,A396GA8SHS2L41,arm,"full of lines, strange shape, white and gray, extended in the floor, down.","Bold, impressive, dramatic, chaotic, terrific, scandalous, astounding, provocative"
193,5.jpg,Guernica,A396GA8SHS2L41,eye,"vitreous, deadly look, down side, white iris, vertical position","Bold, impressive, dramatic, chaotic, terrific, scandalous, astounding, provocative"
194,5.jpg,Guernica,AIN29LNXRARXY,hoof,"horse, foot, metal, bottom left",
195,5.jpg,Guernica,AIN29LNXRARXY,horn,"top left, pointed, bone",
196,5.jpg,Guernica,AIN29LNXRARXY,right eye,"open, stylized, top left",
197,5.jpg,Guernica,AIN29LNXRARXY,left eye,"open, stylized, gaze",
198,5.jpg,Guernica,AIN29LNXRARXY,head,"dead, overturned, children",
199,5.jpg,Guernica,WorkerIDA13JDB1LY9ZTQY,the top of a building,"gray, angular, monochrome","chaotic, violent, grayscale, distorted, strange"
200,5.jpg,Guernica,WorkerIDA13JDB1LY9ZTQY,part of a ruined building,"gray, monochrome, tilted","chaotic, violent, grayscale, distorted, strange"
201,5.jpg,Guernica,WorkerIDA13JDB1LY9ZTQY,a horse_s hoof,"gray, tilted, bottom of image","chaotic, violent, grayscale, distorted, strange"
202,5.jpg,Guernica,WorkerIDA13JDB1LY9ZTQY,a horse_s leg,"gray, shaded, extended","chaotic, violent, grayscale, distorted, strange"
203,5.jpg,Guernica,WorkerIDA13JDB1LY9ZTQY,a horse_s mouth,"open, toothy, screaming","chaotic, violent, grayscale, distorted, strange"
204,5.jpg,Guernica,WorkerIDA13JDB1LY9ZTQY,the lips of a person,"closed, small, thin","chaotic, violent, grayscale, distorted, strange"
205,5.jpg,Guernica,A25OEEJDN7EGJE,testicles,left_ brown_ big,painful; sad; multiform; evocative; upsetting
206,5.jpg,Guernica,A25OEEJDN7EGJE,tongue,"painful, twisted, gray",painful; sad; multiform; evocative; upsetting
207,5.jpg,Guernica,A25OEEJDN7EGJE,hand,"left_ broken, big",painful; sad; multiform; evocative; upsetting
208,5.jpg,Guernica,A1GUNTMI2Y61IW,brick wall,"centrally positioned, medium size, bricks","Animals suffering, people screaming, Fire, horror, dead and mutilated people, suffering, agony "
209,5.jpg,Guernica,A1GUNTMI2Y61IW,door,"left, medium size, rectangular","Animals suffering, people screaming, Fire, horror, dead and mutilated people, suffering, agony "
210,5.jpg,Guernica,A1GUNTMI2Y61IW,body of a bull,"left, dark grey, medium size","Animals suffering, people screaming, Fire, horror, dead and mutilated people, suffering, agony "
211,5.jpg,Guernica,A1GUNTMI2Y61IW,door,"right, medium size, rectangular","Animals suffering, people screaming, Fire, horror, dead and mutilated people, suffering, agony "
212,5.jpg,Guernica,A1GUNTMI2Y61IW,window,"square, left, small","Animals suffering, people screaming, Fire, horror, dead and mutilated people, suffering, agony "
