"filename","folder","source__sourceImage","source__sourceAnnotation","object__name","object__deleted","object__verified","object__occluded","object__attributes","object__parts__hasparts","object__parts__ispartof","object__date","object__id","object__polygon__username","object__polygon__pt__x","object__polygon__pt__y","imagesize__nrows","imagesize__ncols"
"","","","","","","","","","","","","","","163","617","",""
"","","","","","","","","","","","","","","170","617","",""
"","","","","","","","","","","","","","","174","613","",""
"","","","","","","","","","","","","","","180","609","",""
"","","","","","","","","","","","","","","183","605","",""
"","","","","","","","","","","","","","","187","600","",""
"","","","","","","","","","","","","","","187","597","",""
"","","","","","","","","","","","","","","186","591","",""
"","","","","","","","","","","","","","","180","587","",""
"","","","","","","","","","","","","","","171","583","",""
"","","","","","","","","","","","","","","166","580","",""
"","","","","","","","","","","","","","","157","577","",""
"","","","","","","","","","","","","","","151","574","",""
"","","","","","","","","","","","","","","143","570","",""
"","","","","","","","","","","","","","","124","561","",""
"","","","","","","","","","","","","","","121","561","",""
"","","","","","","","","","","","","","","115","558","",""
"","","","","","","","","","","","","","","105","550","",""
"","","","","","","","","","","","","","","91","544","",""
"","","","","","","","","","","","","","","83","540","",""
"","","","","dress","0","0","","brown, embroidered, fabric","","","25-Jul-2019 09:49:17","20","AIN29LNXRARXY","259","574","",""
"","","","","","","","","","","","","","","263","604","",""
"","","","","","","","","","","","","","","288","621","",""
"","","","","","","","","","","","","","","316","634","",""
"","","","","","","","","","","","","","","344","642","",""
"","","","","","","","","","","","","","","381","644","",""
"","","","","","","","","","","","","","","409","647","",""
"","","","","","","","","","","","","","","428","649","",""
"","","","","","","","","","","","","","","394","685","",""
"","","","","","","","","","","","","","","372","710","",""
"","","","","","","","","","","","","","","350","742","",""
"","","","","","","","","","","","","","","333","768","",""
"","","","","","","","","","","","","","","313","795","",""
"","","","","","","","","","","","","","","304","814","",""
"","","","","","","","","","","","","","","294","832","",""
"","","","","","","","","","","","","","","276","825","",""
"","","","","","","","","","","","","","","249","801","",""
"","","","","","","","","","","","","","","238","785","",""
"","","","","","","","","","","","","","","225","759","",""
"","","","","","","","","","","","","","","214","723","",""
"","","","","","","","","","","","","","","226","675","",""
"","","","","","","","","","","","","","","233","644","",""
"","","","","","","","","","","","","","","248","616","",""
"","","","","right hand","0","0","","bottom front, resting, white, clean","","","25-Jul-2019 09:51:28","21","AIN29LNXRARXY","228","959","",""
"","","","","","","","","","","","","","","250","958","",""
"","","","","","","","","","","","","","","251","962","",""
"","","","","","","","","","","","","","","261","978","",""
"","","","","","","","","","","","","","","268","987","",""
"","","","","","","","","","","","","","","276","996","",""
"","","","","","","","","","","","","","","287","1008","",""
"","","","","","","","","","","","","","","295","1016","",""
"","","","","","","","","","","","","","","301","1023","",""
"","","","","","","","","","","","","","","313","1032","",""
"","","","","","","","","","","","","","","319","1035","",""
"","","","","","","","","","","","","","","326","1042","",""
"","","","","","","","","","","","","","","332","1044","",""
"","","","","","","","","","","","","","","336","1045","",""
"","","","","","","","","","","","","","","340","1046","",""
"","","","","","","","","","","","","","","352","1052","",""
"","","","","","","","","","","","","","","365","1055","",""
"","","","","","","","","","","","","","","373","1056","",""
"","","","","","","","","","","","","","","377","1056","",""
"","","","","","","","","","","","","","","383","1052","",""
"","","","","","","","","","","","","","","384","1051","",""
"","","","","","","","","","","","","","","389","1053","",""
"","","","","","","","","","","","","","","398","1057","",""
"","","","","","","","","","","","","","","402","1057","",""
"","","","","","","","","","","","","","","407","1058","",""
"","","","","","","","","","","","","","","414","1058","",""
"","","","","","","","","","","","","","","419","1055","",""
"","","","","","","","","","","","","","","420","1054","",""
"","","","","","","","","","","","","","","422","1052","",""
"","","","","","","","","","","","","","","426","1052","",""
"","","","","","","","","","","","","","","430","1050","",""
"","","","","","","","","","","","","","","434","1050","",""
"","","","","","","","","","","","","","","441","1050","",""
"","","","","","","","","","","","","","","447","1047","",""
"","","","","","","","","","","","","","","447","1042","",""
"","","","","","","","","","","","","","","443","1037","",""
"","","","","","","","","","","","","","","438","1030","",""
"","","","","","","","","","","","","","","432","1022","",""
"","","","","","","","","","","","","","","424","1014","",""
"","","","","","","","","","","","","","","420","1009","",""
"","","","","","","","","","","","","","","411","1001","",""
"","","","","","","","","","","","","","","401","993","",""
"","","","","","","","","","","","","","","395","987","",""
"","","","","","","","","","","","","","","387","978","",""
"","","","","","","","","","","","","","","381","973","",""
"","","","","","","","","","","","","","","378","968","",""
"","","","","","","","","","","","","","","381","966","",""
"","","","","","","","","","","","","","","394","974","",""
"","","","","","","","","","","","","","","405","978","",""
"","","","","","","","","","","","","","","416","983","",""
